"Date","Open","High","Low","Close","AdjClose","Volume"
"2023-01-01T00:00:00.000000Z",16547.914063,16630.439453,16521.234375,16625.080078,16625.080078,9244361700
"2023-01-02T00:00:00.000000Z",16625.509766,16759.34375,16572.228516,16688.470703,16688.470703,12097775227
"2023-01-03T00:00:00.000000Z",16688.847656,16760.447266,16622.371094,16679.857422,16679.857422,13903079207
"2023-01-04T00:00:00.000000Z",16680.205078,16964.585938,16667.763672,16863.238281,16863.238281,18421743322
"2023-01-05T00:00:00.000000Z",16863.472656,16884.021484,16790.283203,16836.736328,16836.736328,13692758566
"2023-01-06T00:00:00.000000Z",16836.472656,16991.994141,16716.421875,16951.96875,16951.96875,14413662913
"2023-01-07T00:00:00.000000Z",16952.117188,16975.017578,16914.191406,16955.078125,16955.078125,7714767174
"2023-01-08T00:00:00.000000Z",16954.146484,17091.144531,16924.050781,17091.144531,17091.144531,9768827914
"2023-01-09T00:00:00.000000Z",17093.992188,17389.957031,17093.992188,17196.554688,17196.554688,18624736866
"2023-01-10T00:00:00.000000Z",17192.949219,17484.720703,17162.990234,17446.292969,17446.292969,15808338949
"2023-01-11T00:00:00.000000Z",17446.359375,17934.896484,17337.994141,17934.896484,17934.896484,18372283782
"2023-01-12T00:00:00.000000Z",18117.59375,19030.087891,17995.203125,18869.587891,18869.587891,34971338710
"2023-01-13T00:00:00.000000Z",18868.90625,19964.322266,18753.164063,19909.574219,19909.574219,29225029694
"2023-01-14T00:00:00.000000Z",19910.537109,21075.142578,19907.828125,20976.298828,20976.298828,38967784639
"2023-01-15T00:00:00.000000Z",20977.484375,20993.748047,20606.986328,20880.798828,20880.798828,19298407543
"2023-01-16T00:00:00.000000Z",20882.224609,21360.875,20715.746094,21169.632813,21169.632813,26792494050
"2023-01-17T00:00:00.000000Z",21175.833984,21438.660156,20978.533203,21161.519531,21161.519531,24999983362
"2023-01-18T00:00:00.000000Z",21161.050781,21564.501953,20541.544922,20688.78125,20688.78125,30005625418
"2023-01-19T00:00:00.000000Z",20686.746094,21163.011719,20685.380859,21086.792969,21086.792969,21152848261
"2023-01-20T00:00:00.000000Z",21085.373047,22692.357422,20919.126953,22676.552734,22676.552734,28799154319
"2023-01-21T00:00:00.000000Z",22677.427734,23282.347656,22511.833984,22777.625,22777.625,32442278429
"2023-01-22T00:00:00.000000Z",22777.986328,23056.730469,22387.900391,22720.416016,22720.416016,24746386230
"2023-01-23T00:00:00.000000Z",22721.087891,23126.486328,22654.304688,22934.431641,22934.431641,26518700512
"2023-01-24T00:00:00.000000Z",22929.626953,23134.011719,22549.744141,22636.46875,22636.46875,26405069715
"2023-01-25T00:00:00.000000Z",22639.267578,23722.099609,22406.076172,23117.859375,23117.859375,30685366709
"2023-01-26T00:00:00.000000Z",23108.955078,23237.078125,22911.373047,23032.777344,23032.777344,26357839322
"2023-01-27T00:00:00.000000Z",23030.716797,23417.720703,22654.59375,23078.728516,23078.728516,25383335641
"2023-01-28T00:00:00.000000Z",23079.964844,23165.896484,22908.845703,23031.089844,23031.089844,14712928379
"2023-01-29T00:00:00.000000Z",23031.449219,23919.890625,22985.070313,23774.566406,23774.566406,27423687259
"2023-01-30T00:00:00.000000Z",23774.648438,23789.347656,22657.582031,22840.138672,22840.138672,27205595568
"2023-01-31T00:00:00.000000Z",22840.796875,23225.021484,22765.568359,23139.283203,23139.283203,22837828665
"2023-02-01T00:00:00.000000Z",23137.835938,23764.539063,22877.75,23723.769531,23723.769531,26683255504
"2023-02-02T00:00:00.000000Z",23720.824219,24167.210938,23468.595703,23471.871094,23471.871094,32066936882
"2023-02-03T00:00:00.000000Z",23469.412109,23678.103516,23279.955078,23449.322266,23449.322266,27083066007
"2023-02-04T00:00:00.000000Z",23446.320313,23556.949219,23291.794922,23331.847656,23331.847656,15639298538
"2023-02-05T00:00:00.000000Z",23332.248047,23423.435547,22841.759766,22955.666016,22955.666016,19564262605
"2023-02-06T00:00:00.000000Z",22954.021484,23119.279297,22692.025391,22760.109375,22760.109375,23825006542
"2023-02-07T00:00:00.000000Z",22757.267578,23310.974609,22756.257813,23264.291016,23264.291016,27187964471
"2023-02-08T00:00:00.000000Z",23263.416016,23367.958984,22731.097656,22939.398438,22939.398438,25371367758
"2023-02-09T00:00:00.000000Z",22946.566406,22996.4375,21773.974609,21819.039063,21819.039063,32572572185
"2023-02-10T00:00:00.000000Z",21819.005859,21941.185547,21539.392578,21651.183594,21651.183594,27078406594
"2023-02-11T00:00:00.000000Z",21651.841797,21891.410156,21618.449219,21870.875,21870.875,16356226232
"2023-02-12T00:00:00.000000Z",21870.902344,22060.994141,21682.828125,21788.203125,21788.203125,17821046406
"2023-02-13T00:00:00.000000Z",21787.0,21898.414063,21460.087891,21808.101563,21808.101563,23918742607
